,P4,Cz,F8,T7
1245,7.577911,6.777442,-7.723629,3.3920467
1248,-0.22770761,2.5177586,-5.3795753,1.8876065
1249,-1.3378738,1.627382,-9.093934,2.8224854
1252,-0.6020219,2.7767167,-2.2713408,0.8229135
1260,3.2221773,4.6555724,-3.5231616,-1.509258
1262,0.36812702,-0.3931688,1.6037029,-3.0299172
1263,1.8569108,-1.510053,1.3178457,-0.8002078
1264,2.535432,-2.2564778,0.5510105,1.6432734
1270,-2.225331,2.2479694,-2.2835047,1.345077
1271,-0.55089545,2.822466,-1.8170447,-0.170869
1272,1.0814531,3.0502372,-0.711608,-1.2181958
1273,1.9033535,2.879873,-1.8776853,-1.7550176
1277,1.7487378,3.8861437,-0.32732737,-5.3982973
1278,1.1442068,2.8560052,-0.72847337,-3.876235
1281,-1.3280542,0.07506949,0.10973019,0.29725656
1284,0.5317302,-1.602469,-0.62313855,2.4786556
1286,2.120427,-0.681624,-0.5563163,1.2461625
1287,4.5796995,-0.61407936,-3.1486447,2.8304555
1294,-0.68583006,0.4481969,-2.4919596,0.09272617
1298,-2.9508533,0.5793955,2.419937,-0.29865992
1299,-4.5861197,-0.51459026,4.117904,-2.980135
1301,-0.72858965,-4.612391,5.51478,-2.8245075
1304,2.1738842,0.9500219,3.3666513,4.267903
1305,3.0690758,1.6171244,3.22111,3.26043
1306,4.177085,0.9533304,1.8316231,2.6691961
1310,-1.9917824,-0.47927693,-4.7893147,3.3002558
1317,-5.093681,0.8907723,-2.0755043,0.5254469
1321,-0.09016101,-0.08981428,3.4054265,-1.1742338
1328,5.252007,0.8542172,-9.301899,1.9358904
1333,-0.350068,-2.707056,1.6057184,-1.8595855
1334,-1.6578513,-3.4198997,0.8946133,-3.952846
1337,-2.4354167,-3.7261794,8.7941,-6.264064
1338,-3.9320889,-2.0204265,13.252647,-7.5038214
1339,-3.6384778,-0.44790468,11.335333,-7.3778234
1340,-2.4140472,-0.14759023,7.294312,-6.4984007
1348,0.18969458,-0.68350625,-5.992716,3.2633579
1361,-2.946807,-3.7302573,-5.4648705,-0.45504126
1363,-6.1097994,-7.830601,-4.648288,-0.41873556
1367,-3.625073,-3.3754945,-0.07825083,1.2369128
1368,-1.829957,-1.3966177,1.0534866,0.97067916
1374,2.3908322,6.9427443,-7.1145844,4.39191
1375,2.9421723,7.3312564,-2.8635204,3.6131618
1382,0.75917506,-1.244715,-0.360353,-3.5919487
1383,-1.1768297,-2.0473726,0.8861418,-2.6439686
1385,-7.613998,-3.4165313,2.7825935,0.6006678
1388,-0.5471948,-2.4270587,-3.221054,3.469476
1392,5.046212,5.813763,-3.362098,4.8683367
1393,7.1909847,7.238284,-1.3399055,6.6602798
1401,-1.794883,-1.3064759,-0.6961905,-7.309031
1402,-1.9697894,-3.3425448,-1.6086147,-7.7987275
1404,-3.9947376,-6.5907664,7.004065,-10.236266
1405,-4.4347034,-6.0556264,12.487119,-6.03445
1407,-5.3535657,-2.7099714,15.009558,-1.0946888
1408,-3.6348267,-1.5340978,15.041861,1.614811
1409,-2.1294646,-1.0665257,13.644782,3.9075294
1410,-2.0201359,-2.097325,11.632204,4.559751
1417,0.1505316,-2.8573387,-1.3605232,-3.007174
1418,-0.9505582,-1.9027086,2.8821971,-6.2724743
1419,-0.5079194,0.4105377,5.97943,-6.8421545
1422,-3.993693,-4.7954245,4.602475,-6.761123
1425,-6.637394,-3.3219924,8.526222,-7.668214
1426,-6.9548535,-5.006716,8.466917,-8.633845
1427,-6.9655237,-6.594725,8.191914,-7.638432
1430,-3.38282,-1.6327589,11.059701,0.97843647
1442,-1.1336963,-0.6300268,2.9138327,-2.827801
1444,-0.4083936,3.1247587,2.1750834,-5.6018524
1445,0.89283556,2.3936098,4.596036,-5.4584475
